"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"SOLDERJUMPER_2WAYS";"SJ_3";"SJ2";"Solder Jumper";"";
"2";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"C1, C2";"302010138";"";
"1";"10118193-0001LF";"MICRO-USB-SMD-B-(10118193-0001LF)";"MICRO-USB5+6P-SMD-0.65-B";"USB1";"320010003";"";
"1";"10uf";"TANTALUM-SMD-10UF-16V-10%(AVX-A)";"AVX-A";"C5";"302020002";"";
"2";"1K";"SMD-RES-1K-1%-1/10W(0603)";"R0603";"R1, R2";"301010298";"";
"1";"687106183722";"687106183722";"687106183722";"J1";"687106183722";"";
"2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"JP3, JP5";"Fiducial Alignment Points";"";
"1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"FRAME1";"Schematic Frame";"";
"1";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"U1";"USB UART";"";
"1";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"D1";"304090043";"";
"1";"LOGO-SFESK";"LOGO-SFESK";"SFE-LOGO-FLAME";"JP2";"Spark Fun Electronics PCB Logo";"";
"1";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"D2";"304090044";"";
